package_id,pip_name,source_id,url,domain,source_family
PIP-0120,albumentations,SRC-0003,https://albumentations.ai/docs/1-introduction/installation/,albumentations.ai,other_project_docs
PIP-0120,albumentations,SRC-0248,https://pypi.org/project/albumentations/,pypi.org,pypi_package_metadata
PIP-0121,supervision,SRC-0385,https://supervision.roboflow.com/,supervision.roboflow.com,other_project_docs
PIP-0121,supervision,SRC-0154,https://github.com/roboflow/supervision,github.com,github_repositories
PIP-0122,pycocotools,SRC-0313,https://pypi.org/project/pycocotools/,pypi.org,pypi_package_metadata
PIP-0122,pycocotools,SRC-0147,https://github.com/ppwwyyxx/cocoapi,github.com,github_repositories
PIP-0123,groundingdino-py,SRC-0275,https://pypi.org/project/groundingdino-py/,pypi.org,pypi_package_metadata
PIP-0123,groundingdino-py,SRC-0188,https://huggingface.co/docs/transformers/en/model_doc/grounding-dino,huggingface.co,huggingface_ecosystem_docs
PIP-0124,open-clip-torch,SRC-0303,https://pypi.org/project/open-clip-torch/,pypi.org,pypi_package_metadata
PIP-0124,open-clip-torch,SRC-0138,https://github.com/mlfoundations/open_clip,github.com,github_repositories
PIP-0125,clip-interrogator,SRC-0146,https://github.com/pharmapsychotic/clip-interrogator,github.com,github_repositories
PIP-0125,clip-interrogator,SRC-0319,https://pypi.org/project/pytorch-clip-interrogator/,pypi.org,pypi_package_metadata
PIP-0126,lpips,SRC-0153,https://github.com/richzhang/PerceptualSimilarity,github.com,github_repositories
PIP-0126,lpips,SRC-0204,https://lightning.ai/docs/torchmetrics/stable//image/learned_perceptual_image_patch_similarity.html,lightning.ai,other_project_docs
PIP-0127,peft,SRC-0178,https://huggingface.co/docs/peft/en/index,huggingface.co,huggingface_ecosystem_docs
PIP-0127,peft,SRC-0179,https://huggingface.co/docs/peft/en/install,huggingface.co,huggingface_ecosystem_docs
PIP-0128,wandb,SRC-0082,https://docs.wandb.ai/models/quickstart,docs.wandb.ai,other_project_docs
PIP-0128,wandb,SRC-0356,https://pypi.org/project/wandb/,pypi.org,pypi_package_metadata
PIP-0129,tensorboard,SRC-0404,https://www.tensorflow.org/tensorboard/get_started,tensorflow.org,other_project_docs
PIP-0129,tensorboard,SRC-0064,https://docs.pytorch.org/tutorials/beginner/introyt/tensorboardyt_tutorial.html,docs.pytorch.org,pytorch_docs
PIP-0129,tensorboard,SRC-0333,https://pypi.org/project/tensorboard/,pypi.org,pypi_package_metadata
PIP-0130,httpx,SRC-0402,https://www.python-httpx.org/,python-httpx.org,other_project_docs
PIP-0130,httpx,SRC-0278,https://pypi.org/project/httpx/,pypi.org,pypi_package_metadata
PIP-0131,websockets,SRC-0393,https://websockets.readthedocs.io/en/stable/intro/index.html,websockets.readthedocs.io,project_documentation
PIP-0131,websockets,SRC-0359,https://pypi.org/project/websockets/,pypi.org,pypi_package_metadata
PIP-0132,orjson,SRC-0306,https://pypi.org/project/orjson/,pypi.org,pypi_package_metadata
PIP-0132,orjson,SRC-0132,https://github.com/ijl/orjson/releases,github.com,github_repositories
PIP-0133,watchdog,SRC-0128,https://github.com/gorakhargosh/watchdog,github.com,github_repositories
PIP-0133,watchdog,SRC-0357,https://pypi.org/project/watchdog/,pypi.org,pypi_package_metadata
PIP-0134,build,SRC-0224,https://packaging.python.org/en/latest/guides/writing-pyproject-toml/,packaging.python.org,python_packaging_build_docs
PIP-0134,build,SRC-0254,https://pypi.org/project/build/,pypi.org,pypi_package_metadata
PIP-0135,pyproject-hooks,SRC-0316,https://pypi.org/project/pyproject-hooks/,pypi.org,pypi_package_metadata
PIP-0135,pyproject-hooks,SRC-0231,https://pip.pypa.io/en/stable/reference/build-system/,pip.pypa.io,python_packaging_build_docs
PIP-0136,scikit-build-core,SRC-0373,https://scikit-build-core.readthedocs.io/en/latest/,scikit-build-core.readthedocs.io,project_documentation
PIP-0137,meson-python,SRC-0208,https://mesonbuild.com/meson-python/,mesonbuild.com,other_project_docs
PIP-0138,maturin,SRC-0400,https://www.maturin.rs/,maturin.rs,other_project_docs
PIP-0139,setuptools-scm,SRC-0380,https://setuptools-scm.readthedocs.io/,setuptools-scm.readthedocs.io,project_documentation
PIP-0139,setuptools-scm,SRC-0326,https://pypi.org/project/setuptools-scm/,pypi.org,pypi_package_metadata
PIP-0140,cibuildwheel,SRC-0009,https://cibuildwheel.pypa.io/,cibuildwheel.pypa.io,python_packaging_build_docs
PIP-0141,auditwheel,SRC-0149,https://github.com/pypa/auditwheel,github.com,github_repositories
PIP-0142,delvewheel,SRC-0107,https://github.com/adang1345/delvewheel,github.com,github_repositories
PIP-0143,pip-tools,SRC-0229,https://pip-tools.readthedocs.io/en/latest/,pip-tools.readthedocs.io,project_documentation
PIP-0144,pipdeptree,SRC-0157,https://github.com/tox-dev/pipdeptree,github.com,github_repositories
PIP-0144,pipdeptree,SRC-0309,https://pypi.org/project/pipdeptree/,pypi.org,pypi_package_metadata
PIP-0145,uv,SRC-0024,https://docs.astral.sh/uv/,docs.astral.sh,python_packaging_build_docs
PIP-0146,nvidia-pyindex,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0146,nvidia-pyindex,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0146,nvidia-pyindex,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0147,nvidia-cuda-runtime-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0147,nvidia-cuda-runtime-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0147,nvidia-cuda-runtime-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0148,nvidia-cuda-runtime-cu13,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0148,nvidia-cuda-runtime-cu13,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0148,nvidia-cuda-runtime-cu13,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
PIP-0149,nvidia-cuda-nvcc-cu12,SRC-0033,https://docs.nvidia.com/cuda/cuda-installation-guide-microsoft-windows/,docs.nvidia.com,nvidia_cuda_inference_docs
PIP-0149,nvidia-cuda-nvcc-cu12,SRC-0241,https://pypi.nvidia.com/,pypi.nvidia.com,nvidia_cuda_inference_docs
PIP-0149,nvidia-cuda-nvcc-cu12,SRC-0013,https://developer.nvidia.com/cuda-downloads,developer.nvidia.com,nvidia_cuda_inference_docs
