"source_path","file_name","extension","size_bytes","corpus","layer","lane_id","chapter","last_write_utc"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/QUERY_ROUTING_MATRIX.md","QUERY_ROUTING_MATRIX.md",".md","1909","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/RETRIEVAL_POLICY.md","RETRIEVAL_POLICY.md",".md","1644","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/SOURCE_PRIORITY_AND_CONFLICT_RESOLUTION.md","SOURCE_PRIORITY_AND_CONFLICT_RESOLUTION.md",".md","1177","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/SOURCE_VERIFICATION_GUIDE.md","SOURCE_VERIFICATION_GUIDE.md",".md","1097","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/SOURCE_VERIFICATION_STATUS.md","SOURCE_VERIFICATION_STATUS.md",".md","595","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/SYSTEM_PROMPT_FOR_AI_ASSISTANTS.md","SYSTEM_PROMPT_FOR_AI_ASSISTANTS.md",".md","3256","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/TOPICS_20_25_CANONICAL_SOURCE_CORRECTIONS.md","TOPICS_20_25_CANONICAL_SOURCE_CORRECTIONS.md",".md","2420","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/TORCHIE_OPERATOR_SHORTHAND_PROTOCOL.md","TORCHIE_OPERATOR_SHORTHAND_PROTOCOL.md",".md","2159","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/VISUAL_ASSET_USE_POLICY.md","VISUAL_ASSET_USE_POLICY.md",".md","1448","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/WEB_VERIFICATION_REQUIRED_POLICY.md","WEB_VERIFICATION_REQUIRED_POLICY.md",".md","1402","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/00_AI_READ_FIRST/WORKFLOW_PROMPT_AND_MARKDOWN_BRAND_POLICY.md","WORKFLOW_PROMPT_AND_MARKDOWN_BRAND_POLICY.md",".md","2341","aiwf_atlas","read_first","","","2026-05-21T07:12:10.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/CANONICAL_OVERVIEW.md","CANONICAL_OVERVIEW.md",".md","1579","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/CONCEPT_MAP.md","CONCEPT_MAP.md",".md","1403","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/EMBEDDING_AND_CHUNKING_STRATEGY.md","EMBEDDING_AND_CHUNKING_STRATEGY.md",".md","1433","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/GAP_AUDIT_AND_VOL2_QUEUE.md","GAP_AUDIT_AND_VOL2_QUEUE.md",".md","762","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/lane_profile.json","lane_profile.json",".json","974","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
"AIWF_Atlas_VOL1_machine_facing_v3_3_api_cli_guide/01_CANONICAL_RESEARCH_LANES/01_source_ledger_evidence/QA_TEST_PROMPTS.md","QA_TEST_PROMPTS.md",".md","951","aiwf_atlas","canonical_lane","01_source_ledger_evidence","","2026-05-21T07:12:12.0000000Z"
